"330000","B002QWHJOU","A3KDKU5A4MS3K3","A. Prouty","3","11","1","1340150400","PLEASE RESEARCH BEFORE GIVING TO YOUR DOG!","Read the stories online....dogs have died from Greenies.  I gave my 50lb pound dog Greenies for the first time 2 weeks ago, and she became very very sick for more than a week.  She was vomiting and having potty issues the entire time.  These cause blockages and do not allow the dog to fully digest.  I can't believe these are still on the market.From one loving pet owner to another - DO YOUR RESEARCH BEFORE GIVING YOUR DOGS GREENIES!  TRUST ME."
"330001","B002QWHJOU","A29MUI0NWN37UT","B. Kay Thompson","2","11","2","1227484800","less than I ordered","The ad says 30 regular greenies, but the package I received says27 greenies."
"330002","B002QWHJOU","AHL0TI6H9FALR","Old School but Kicking ""Foggy""","7","25","1","1278374400","The Ultimate Consumer ""Fraud.""","We have two St. Bernards, one of whom is close to ancient, and last year she developed a dental problem.  Someone mentioned GREENIES and off we went to find our old girl something to help her age gracefully and hopefully without pain.  Well, she just loved them - as did the younger Saint - and here we are a couple of thousand dollars later wondering how to wean at least the younger dog off these obviously addictive green hard gel bones that don't have a single expensive ingredient in them.  The packaging, however, is nicer than that of most department stores but just how many of those boxes do I really want?I have calculated that the most expensive dentist around here would have cost less than the dent Greenies have made in my pocketbook.  So this is a warning to first time browsers - move on to another product that might well do the job for a third of the money.  A stop at your local butcher's shop could be cost saving compared to these overpriced pieces of strange green.  Someone should tell these folks that we are inching toward a depression because to date their reaction to what must be declining sales is to just keep upping the price."
"330003","B002QWHJOU","A2PZYE86MWEXB6","L. Arrowood","1","15","3","1252800000","Greenies","I do not recommend these for people.  My dog seemed to enjoy them.  They were too big for my cat."
"330004","B002QWHJOU","A24PH6RGFDHXHU","rolf neumann ""junglerolf""","1","24","3","1243728000","Greenies never has clear description","hello,i don't care if it's manufacturer's or Amazon's description, but it's weak. 1, you can't blow up product picture. 2. description is inconsistent. sometimes it states quantity in box, but most of the time, it does not, as with this size ""petite"". by the way, can someone tell the manufacturer it's bad french, there's no ""e"" at the end?!thanks"
"330005","B002QWHJOU","A21JE17TFAHQEA","Caroline","2","2","5","1315612800","My dogs love these","The thing I like about the senior Greenies is that they seem a little bit softer than regular Greenies, so they are easier on my dogs' teeth (I have 6 dogs, 5 seniors and only my 9-toothed senior Doxie doesn't eat them)."
"330006","B002QWHJOU","A1TZFCI1R9FOJM","Lois Wilson ""dog lover""","2","2","4","1312934400","My dogs love these","I have five dogs and feed these daily to help keep their teeth clean.  My only complaint is that they are quite expensive to feed on a daily basis.  Wish there was a way to buy them in bulk."
"330007","B002QWHJOU","AR4R0I0ISSUJ5","Woody1","2","2","5","1312070400","Great treat for dogs, plus ""lite""","These are great for small dogs. I have two dachshunds and I love that these are lower in calories. I cut them in half because they get more than one per day. They like them as much as the regular ones."
"330008","B002QWHJOU","A15RYTNK30XJ7R","Brett L. Colvin ""Threshershark""","2","2","5","1306195200","Greenies are the Best","My dogs get more excited over Greenies than any other treat.  I have one German Shorthair that is a notoriously finicky eater, and she has flat-out refused many varieties of dental bones.  Not only do the Greenies do a great job of keeping her teeth clean, but she practically does back flips when it's time for her daily chew.I have pointers between 45 and 60 pounds, and the regular size is great for them.  Greenies are not a chew that will last very long (usually about 30 seconds with my dogs) - but they do the job.  The chew's consistency is just right for a dental bone.  I give one to each dog after their evening meal, and afterwards there is no food residue left on their teeth.Dental bones aren't the kind of treats that I use frequently or for training.  I give 1 per day to help with oral hygiene.  Based on that use of this product I have yet to find anything that compete with Greenies."
"330009","B002QWHJOU","A10ANM54XQLSG3","aballen","2","2","3","1302307200","Large size is ""small""","While my dogs do like the chews the picture is misleading. The actual package is small and so are the chews ( even the large size)My dogs' breath is a bit better but I'm not sure they are worth the price.I'll be trying other brands."
"330010","B002QWHJOU","A3BI6G5Y70AF2I","Jon Paul Nichol","2","2","4","1297814400","Hate to pay the price","This appeared to be the best price around, but I still don't like paying it!  Wish my dog would eat pigs ears, but he has to have his ""toothbrush"".  My vet also sells these and I do trust him, so maybe ""Max"" knows best."
