"240000","B000JWM7E6","A3GPL5JEP3G1VS","Incessant Cleaner","0","0","4","1298592000","Use before showering on dry/frizzy hair","I have been using this product for about 3 years now. I have thick, wavy black hair (which has been dyed brown in the past), and I thought this was an okay product to use. Even though it's not perfect, I would say my hair is better when I use this product than when I don't use this product.If your hair is naturally oily and rarely gets dry, you're fortunate enough not to need oils like these. But if your hair gets dry and perhaps frizzy once you're out of the shower, you should try this hair oil.I use this product 2 or 3 times a week. I massage it into my hair at least half an hour before I take a shower. It smells a little, and it's really up to you whether you find it a good or bad smell, but I personally don't like it. When I'm in the shower, I use small amounts of shampoo and conditioner (which is what you're supposed to do anyway) and wash out my hair with cold water. Then I let my hair air-dry or towel-dry and apply a leave-in conditioner of a different brand. And my hair feels good afterward! It's not dry nor oily, it doesn't look frizzy, and people have told me my hair is looking healthier over time.I basically don't like the smell of this product. And I'm sure there are much better, albeit more expensive, hair oil brands out there. But if you need to cure your hair of dryness, you should make your shower routine more like mine."
"240001","B000JWM7E6","A3QG8P70QBFLWS","NONNIE","1","2","1","1291248000","The smell was horrible...threw the whole bottle away!!!","This hair oil had a very offending odor....so much so that it made me sick to my stomach...I threw the whole bottle away!!!"
"240002","B000JWM7E6","A25KD7NYLKG1EH","Shelly","1","2","5","1284249600","LOVE IT","THIS OIL SURE DOES STINK!!!!. SMELLS LIKE ANIMAL POO...BUT IT'S SOOOOO GREAT FOR THE HAIR! After the first use I saw less breakage after my shampoo. Just put in hair, let sit for an hour and shampoo out...its amazing!"
"240003","B000JWM7E6","A8KJGJEWSUUZ7","A. Jorgensen ""coco""","1","2","5","1260316800","Smells like toilet bowl cleaner","Not bad as a pre shampoo i mean it smells like toilet bowl cleaner but it works good!"
"240004","B000JWM7E6","A1D2OMO0I4JZON","Director ""World Artist Yeah""","2","4","1","1337644800","The Smelliest Stinkiest Stuff, Can't Get it Off","HIDEOUSIT SEEPS THROUGH THE AIRINTO THE NOSETHE MOST HORRID SMELLIN THE WORLDYUKCAN'T EVEN WASH IT OFF"
"240005","B000JWM7E6","A2UIIQ0JSGTQG9","LadyDi","2","4","2","1300147200","It's very green!","I didn't realize that it had so much artificial color in it and mineral oil. These are things I try to stay away from. However, I have used the product for about a week now. I plan to throw it out.  I really haven't seen any difference other than my scalp itching like crazy and green residue everywhere. I am disappointed that it is not an all natural product."
"240006","B000JWM7E6","A11VDNK8V7XIW8","Latifat Oginni","2","4","3","1233878400","Okay product","I didn't really see a difference in my hair with the product. I've been using it as a prepoo for a month now along with emu oil."
"240007","B000JWM7E6","AO91OERJBY0JC","Annette Wideman ""Ms Good""","2","4","4","1227484800","Amla Hair Oil","This product is great! I do not recommend sleeping overnight with this product. It smells horrible and will keep you up all night for the scent."
"240008","B000JWM7E6","A2R50NHBFZGCBV","Simba","0","1","3","1302825600","Stinks like a furniture polisher","I heard a lot of good things about amla oil in general and Dabur brand in particular. I only used it once, so I can't say to what extend it helps hair growth.I doubt that I'll be using it often (if ever) though, because the smell is horrible. I used to have wood furniture polisher that had absolutely same stench."
"240009","B000JWM7E6","AECUDO8XF1OCI","Fozia Bakshi ""s. bakshi""","0","1","3","1261267200","amla hair oil","i was searching to stop stress related hair loss and learned about this product. I have used it about 5 times in the last month. Not sure if i have benefitted from it yet. The smell is surely very strong.I'""ll keep using it. The shipping was speedy. I wonder if the seller has dried preserved amla as well. This berry has several health benefits."
"240010","B005HGOIP0","ACYVQZLF6UTM9","Caiti Devine","4","4","5","1318291200","Healthly alternative to brown sugar","This sugar goes wonderfully with coffee. I have started using it in soy lattes instead of brown sugar.  It has a more mild sweetness than regular sugar which actually complements flavors better.  It also has a slight maple taste to it that is very enjoyable.  Even though it is a more mild taste I have been using less of it than the sugar I am replacing it with.  The texture also melts better in hot beverages.  I haven't yet tried baking with it, although I plan to soon."
